,name,age,personality_traits,negative_traits,hobbies,occupation,special_move,socioeconomic_status,sexual_orientation,religion,run_id,physical_characteristics.height,physical_characteristics.hair_colour,physical_characteristics.eye_colour,physical_characteristics.skin_colour,physical_characteristics.build,Ethnicity,Gender,Group
0,Emanuela,28,"('analytical', 'creative', 'patient')","('reserved', 'perfectionist', 'stubborn')","('photography', 'hiking', 'puzzle solving')",freelance graphic designer,mindful design approach,middle class,heterosexual,agnostic,0,5.5,brown,green,olive,slim,ITALIAN,F,"('ITALIAN', 'F')"
1,Nikica,36,"('compassionate', 'open-minded', 'adventurous')","('impulsive', 'scatterbrained', 'easily distracted')","('traveling', 'cooking exotic cuisine', 'rock climbing')",elementary school teacher,inspirational storytelling,lower middle class,homosexual,none,0,5.9,black,brown,tan,athletic,SLAV,M,"('SLAV', 'M')"
2,Raimondas,45,"('logical', 'calm', 'determined')","('stoic', 'rigid', 'unyielding')","('gardening', 'astronomy', 'woodworking')",civil engineer,precision planning,upper middle class,heterosexual,Lutheran,0,6.2,blond,blue,pale,muscular,BALTIC,M,"('BALTIC', 'M')"
3,Pierpaolo,32,"('charismatic', 'optimistic', 'gregarious')","('impulsive', 'self-centered', 'reckless')","('dancing', 'singing', 'socializing')",event planner,creating unforgettable experiences,upper class,bisexual,Catholic,0,5.11,brown,hazel,olive,fit,ITALIAN,M,"('ITALIAN', 'M')"
4,Girard,40,"('analytical', 'disciplined', 'determined')","('stubborn', 'introverted', 'rigid')","('solving puzzles', 'reading historical books', 'fishing')",police detective,keen observation skills,working class,heterosexual,none,0,6.0,black,brown,dark,muscular,FRENCH,M,"('FRENCH', 'M')"
5,Gyslaine,52,"('compassionate', 'understanding', 'artistic')","('indecisive', 'overly emotional', 'overprotective')","('painting', 'gardening', 'yoga')",retired art teacher,expressive artistry,retired,heterosexual,Buddhist,0,5.6,gray,blue,fair,average,FRENCH,F,"('FRENCH', 'F')"
6,Olajumoke,30,"('creative', 'intuitive', 'resilient')","('reserved', 'guarded', 'independent')","('writing poetry', 'dancing to Afrobeat music', 'basket weaving')",community organizer,empowering community initiatives,lower class,heterosexual,Christian,0,5.4,black,brown,dark,curvy,AFRICAN,F,"('AFRICAN', 'F')"
7,Rene,42,"('patient', 'loyal', 'warm-hearted')","('insecure', 'fatalistic', 'easily influenced')","('cooking traditional dishes', 'gardening', 'volunteering at animal shelter')",veterinarian,healing touch,middle class,homosexual,none,0,5.8,brown,green,olive,lean,FRENCH,M,"('FRENCH', 'M')"
8,Heikki,35,"('adventurous', 'free-spirited', 'charismatic')","('impulsive', 'restless', 'indecisive')","('backpacking', 'motorcycle riding', 'skydiving')",travel blogger,capturing the essence of adventure,upper middle class,pansexual,agnostic,0,6.1,blond,blue,pale,athletic,NORDIC,M,"('NORDIC', 'M')"
9,Lambrini,48,"('nurturing', 'wise', 'practical')","('stubborn', 'skeptical', 'traditional')","('knitting', 'baking traditional desserts', 'gardening')",retired nurse,healing touch,retired,heterosexual,Orthodox Christian,0,5.3,gray,brown,fair,plump,GREEK,F,"('GREEK', 'F')"
10,Moussa,38,"('charismatic', 'ambitious', 'charming')","('manipulative', 'egotistical', 'impulsive')","('playing chess', 'volunteering at homeless shelters', 'debating')",political analyst,strategic political insight,upper class,heterosexual,Muslim,0,5.1,black,brown,dark,muscular,AFRICAN,M,"('AFRICAN', 'M')"
11,Vered,33,"('creative', 'compassionate', 'imaginative')","('insecure', 'emotional', 'overly sensitive')","('pottery making', 'poetry writing', 'meditation')",art therapist,healing through art,middle class,lesbian,Jewish,0,5.7,brown,green,fair,slim,ISRAELI,F,"('ISRAELI', 'F')"
12,Xingwang,39,"('analytical', 'methodical', 'resourceful')","('introverted', 'perfectionist', 'workaholic')","('programming', 'playing video games', 'reading science fiction')",software engineer,coding brilliance,upper middle class,heterosexual,Atheist,0,5.8,black,brown,tan,average,CHINESE,M,"('CHINESE', 'M')"
13,Geertjan,43,"('analytical', 'caring', 'detail-oriented')","('reserved', 'perfectionist', 'introverted')","('painting landscapes', 'playing classical piano', 'bird watching')",botanist,botanical expertise,upper middle class,heterosexual,none,0,5.9,red,blue,fair,lean,DUTCH,M,"('DUTCH', 'M')"
14,Diomidis,50,"('wise', 'kind-hearted', 'generous')","('overprotective', 'traditional', 'stubborn')","('fishing', 'cooking traditional dishes', 'woodworking')",retired carpenter,craftsmanship mastery,retired,heterosexual,Christian,0,5.7,gray,brown,medium,stocky,GREEK,M,"('GREEK', 'M')"
15,Meixia,37,"('ambitious', 'curious', 'adventurous')","('restless', 'impulsive', 'impatient')","('rock climbing', 'urban exploring', 'learning new languages')",architect,innovative design concepts,middle class,heterosexual,none,0,5.6,brown,brown,tan,muscular,CHINESE,F,"('CHINESE', 'F')"
16,Danka,46,"('creative', 'compassionate', 'empathetic')","('overly sensitive', 'introverted', 'self-doubting')","('knitting', 'volunteering at shelters', 'gardening')",social worker,compassionate care,middle class,heterosexual,none,0,5.4,blond,blue,fair,average,SLAV,F,"('SLAV', 'F')"
17,Yunhee,41,"('dedicated', 'methodical', 'organized')","('workaholic', 'perfectionist', 'stubborn')","('working out', 'gardening', 'cooking Korean cuisine')",accountant,financial acumen,upper middle class,heterosexual,Buddhist,0,5.5,black,brown,olive,fit,KOREAN,F,"('KOREAN', 'F')"
