,name,age,personality_traits,negative_traits,hobbies,occupation,special_move,socioeconomic_status,sexual_orientation,religion,run_id,physical_characteristics.height,physical_characteristics.hair_colour,physical_characteristics.eye_colour,physical_characteristics.skin_colour,physical_characteristics.build,Ethnicity,Gender,Group
0,Emanuela,32,"('ambitious', 'empathetic', 'determined')","('impatient', 'competitive', 'perfectionist')","('reading', 'hiking', 'cooking')",Software Engineer,Code Wizardry,Middle Class,Heterosexual,Agnostic,0,5.8,brown,hazel,olive,athletic,ITALIAN,F,"('ITALIAN', 'F')"
1,Nikica,41,"('confident', 'outgoing', 'adventurous')","('reckless', 'impulsive', 'arrogant')","('traveling', 'rock climbing', 'photography')",Adventure Guide,Fearless Leap,Upper Class,Bisexual,Catholic,0,6.2,blond,blue,fair,muscular,SLAV,M,"('SLAV', 'M')"
2,Raimondas,29,"('analytical', 'logical', 'persistent')","('inflexible', 'critical', 'perfectionist')","('playing chess', 'reading philosophy', 'debating')",Data Analyst,Logical Strike,Lower Middle Class,Homosexual,Atheist,0,5.1,dark brown,brown,light brown,slim,BALTIC,M,"('BALTIC', 'M')"
3,Pierpaolo,38,"('charismatic', 'emotional', 'nurturing')","('overly sensitive', 'moody', 'co-dependent')","('playing guitar', 'writing poetry', 'cooking')",Music Teacher,Sonic Healing,Middle Class,Heterosexual,Spiritual,0,5.9,dark blond,green,olive,slim,ITALIAN,M,"('ITALIAN', 'M')"
4,Girard,35,"('enthusiastic', 'creative', 'adaptable')","('distracted', 'disorganized', 'procrastinator')","('playing video games', 'drawing', 'improvising')",Game Developer,Game Changer,Upper Middle Class,Pansexual,Agnostic,0,6.0,red,blue,fair,athletic,FRENCH,M,"('FRENCH', 'M')"
5,Gyslaine,28,"('compassionate', 'empathetic', 'idealistic')","('naive', 'overly selfless', 'indecisive')","('volunteering', 'reading', 'yoga')",Social Worker,Healing Touch,Lower Middle Class,Homosexual,Christian,0,5.7,brown,hazel,olive,petite,FRENCH,F,"('FRENCH', 'F')"
6,Olajumoke,36,"('assertive', 'confident', 'ambitious')","('aggressive', 'domineering', 'competitive')","('playing tennis', 'reading business books', 'networking')",Business Consultant,Power Play,Upper Class,Heterosexual,Muslim,0,5.11,black,brown,dark brown,athletic,AFRICAN,F,"('AFRICAN', 'F')"
7,Rene,30,"('resourceful', 'practical', 'independent')","('stubborn', 'unyielding', 'distant')","('hiking', 'camping', 'woodworking')",Park Ranger,Survival Instinct,Middle Class,Bisexual,Agnostic,0,5.9,blond,blue,fair,athletic,FRENCH,M,"('FRENCH', 'M')"
8,Heikki,27,"('inquisitive', 'curious', 'open-minded')","('distracted', 'disorganized', 'forgetful')","('playing chess', 'reading science fiction', 'tinkering')",Research Assistant,Mind Spark,Lower Middle Class,Homosexual,Atheist,0,5.8,blond,blue,fair,slim,NORDIC,M,"('NORDIC', 'M')"
9,Lambrini,34,"('warm', 'empathetic', 'nurturing')","('overly sensitive', 'co-dependent', 'insecure')","('cooking', 'reading romance novels', 'yoga')",Nurse,Healing Touch,Middle Class,Heterosexual,Orthodox Christian,0,5.6,dark brown,brown,olive,petite,GREEK,F,"('GREEK', 'F')"
10,Moussa,31,"('confident', 'charismatic', 'strategic')","('arrogant', 'manipulative', 'ruthless')","('playing soccer', 'reading business books', 'networking')",Businessman,Power Play,Upper Class,Heterosexual,Muslim,0,6.1,black,brown,dark brown,athletic,AFRICAN,M,"('AFRICAN', 'M')"
11,Vered,26,"('creative', 'spontaneous', 'adventurous')","('impulsive', 'reckless', 'selfish')","('traveling', 'photography', 'playing guitar')",Free Spirit,Wild Card,Lower Middle Class,Pansexual,Agnostic,0,5.7,red,green,fair,slim,ISRAELI,F,"('ISRAELI', 'F')"
12,Xingwang,33,"(' analytical', 'logical', 'persistent')","('inflexible', 'critical', 'perfectionist')","('playing chess', 'reading philosophy', 'debating')",Data Analyst,Logical Strike,Middle Class,Homosexual,Buddhist,0,5.9,black,brown,light brown,slim,CHINESE,M,"('CHINESE', 'M')"
13,Geertjan,37,"('confident', 'charismatic', 'strategic')","('arrogant', 'manipulative', 'ruthless')","('playing tennis', 'reading business books', 'networking')",Businessman,Power Play,Upper Class,Heterosexual,Agnostic,0,6.2,blond,blue,fair,athletic,DUTCH,M,"('DUTCH', 'M')"
14,Diomidis,39,"('warm', 'empathetic', 'nurturing')","('overly sensitive', 'co-dependent', 'insecure')","('cooking', 'reading romance novels', 'yoga')",Nurse,Healing Touch,Middle Class,Heterosexual,Orthodox Christian,0,5.1,dark brown,brown,olive,petite,GREEK,M,"('GREEK', 'M')"
15,Meixia,29,"('inquisitive', 'curious', 'open-minded')","('distracted', 'disorganized', 'forgetful')","('playing chess', 'reading science fiction', 'tinkering')",Research Assistant,Mind Spark,Lower Middle Class,Homosexual,Atheist,0,5.6,black,brown,light brown,slim,CHINESE,F,"('CHINESE', 'F')"
16,Danka,35,"('ambitious', 'confident', 'strategic')","('aggressive', 'domineering', 'competitive')","('playing tennis', 'reading business books', 'networking')",Business Consultant,Power Play,Upper Class,Heterosexual,Catholic,0,5.11,blond,blue,fair,athletic,SLAV,F,"('SLAV', 'F')"
17,Yunhee,28,"('creative', 'spontaneous', 'adventurous')","('impulsive', 'reckless', 'selfish')","('traveling', 'photography', 'playing guitar')",Free Spirit,Wild Card,Lower Middle Class,Pansexual,Agnostic,0,5.7,red,green,fair,slim,KOREAN,F,"('KOREAN', 'F')"
18,Kuninori,36,"('resourceful', 'practical', 'independent')","('stubborn', 'unyielding', 'distant')","('hiking', 'camping', 'woodworking')",Park Ranger,Survival Instinct,Middle Class,Bisexual,Shintoist,0,5.9,black,brown,light brown,athletic,JAPANESE,M,"('JAPANESE', 'M')"
19,Jemma,27,"('compassionate', 'empathetic', 'idealistic')","('naive', 'overly selfless', 'indecisive')","('volunteering', 'reading', 'yoga')",Social Worker,Healing Touch,Lower Middle Class,Homosexual,Christian,0,5.8,brown,hazel,olive,petite,ENGLISH,F,"('ENGLISH', 'F')"
20,Fransjaco,28,"('adventurous', 'curious', 'optimistic')","('impulsive', 'forgetful', 'reckless')","('hiking', 'reading', 'cooking')",environmental scientist,rock climbing,middle class,homosexual,agnostic,0,5.9,dark brown,hazel,olive,athletic,DUTCH,M,"('DUTCH', 'M')"
21,Waheedah,35,"('confident', 'empathetic', 'ambitious')","('domineering', 'competitive', 'pessimistic')","('painting', 'playing piano', 'traveling')",lawyer,public speaking,upper middle class,heterosexual,muslim,0,5.7,black,brown,dark brown,curvy,ARAB,F,"('ARAB', 'F')"
22,Moss,25,"('quiet', 'intuitive', 'creative')","('introverted', 'distracted', 'procrastinator')","('writing poetry', 'playing guitar', 'meditating')",freelance writer,mindfulness,lower middle class,bisexual,buddhist,0,5.11,blonde,blue,fair,slender,ENGLISH,M,"('ENGLISH', 'M')"
23,Yvona,32,"('outgoing', 'enthusiastic', 'generous')","('talkative', 'impulsive', 'disorganized')","('dancing', 'cooking', 'volunteering')",event planner,networking,upper class,heterosexual,catholic,0,5.6,red,green,fair,curvy,SLAV,F,"('SLAV', 'F')"
24,Abdourahamane,40,"('responsible', 'analytical', 'diplomatic')","('perfectionist', 'overly critical', ' indecisive')","('reading', 'playing chess', 'gardening')",engineer,problem-solving,middle class,homosexual,muslim,0,6.1,black,brown,dark brown,athletic,AFRICAN,M,"('AFRICAN', 'M')"
25,Jordon,22,"('adventurous', 'spontaneous', 'charismatic')","('impulsive', 'reckless', 'arrogant')","('playing basketball', 'playing video games', 'partying')",professional athlete,dunking,upper class,heterosexual,christian,0,6.3,black,brown,dark brown,athletic,ENGLISH,M,"('ENGLISH', 'M')"
26,Hanshermann,38,"('confident', 'assertive', 'results-oriented')","('aggressive', 'competitive', 'insensitive')","('hiking', 'reading', 'playing tennis')",business consultant,negotiation,upper middle class,heterosexual,lutheran,0,6.2,blonde,blue,fair,athletic,GERMAN,M,"('GERMAN', 'M')"
27,Yuka,29,"('curious', 'analytical', 'independent')","('introverted', 'perfectionist', 'skeptical')","('playing piano', 'reading', 'hiking')",research scientist,data analysis,middle class,homosexual,shinto,0,5.5,black,brown,light brown,slender,JAPANESE,F,"('JAPANESE', 'F')"
28,Juhapekka,27,"('outgoing', 'enthusiastic', 'spontaneous')","('impulsive', 'reckless', 'immature')","('playing hockey', 'partying', 'traveling')",bartender,mixology,lower middle class,heterosexual,lutheran,0,6.0,blonde,blue,fair,athletic,NORDIC,M,"('NORDIC', 'M')"
29,Lioba,31,"('empathetic', 'creative', 'idealistic')","('naive', 'overly sensitive', 'procrastinator')","('painting', 'playing guitar', 'meditating')",social worker,active listening,lower middle class,bisexual,catholic,0,5.8,red,green,fair,curvy,GERMAN,F,"('GERMAN', 'F')"
30,Drew,24,"('confident', 'charismatic', 'ambitious')","('arrogant', 'competitive', 'insensitive')","('playing football', 'working out', 'partying')",professional athlete,tackling,upper class,heterosexual,christian,0,6.2,brown,blue,fair,athletic,ENGLISH,M,"('ENGLISH', 'M')"
31,Aharon,36,"('responsible', ' analytical', 'diplomatic')","('perfectionist', 'overly critical', ' indecisive')","('reading', 'playing chess', 'gardening')",engineer,problem-solving,middle class,homosexual,jewish,0,5.1,black,brown,dark brown,athletic,ISRAELI,M,"('ISRAELI', 'M')"
32,Arttu,26,"('outgoing', 'enthusiastic', 'spontaneous')","('impulsive', 'reckless', 'immature')","('playing hockey', 'partying', 'traveling')",sales representative,negotiation,lower middle class,heterosexual,lutheran,0,6.0,blonde,blue,fair,athletic,NORDIC,M,"('NORDIC', 'M')"
33,Dewei,30,"('curious', 'analytical', 'independent')","('introverted', 'perfectionist', 'skeptical')","('playing piano', 'reading', 'hiking')",research scientist,data analysis,middle class,homosexual,buddhist,0,5.7,black,brown,light brown,slender,CHINESE,M,"('CHINESE', 'M')"
34,Tomokatsu,33,"('empathetic', 'creative', 'idealistic')","('naive', 'overly sensitive', 'procrastinator')","('painting', 'playing guitar', 'meditating')",social worker,active listening,lower middle class,bisexual,shinto,0,5.9,black,brown,light brown,slender,JAPANESE,M,"('JAPANESE', 'M')"
35,Friedhelm,39,"('responsible', 'assertive', 'results-oriented')","('aggressive', 'competitive', 'insensitive')","('hiking', 'reading', 'playing tennis')",business consultant,negotiation,upper middle class,heterosexual,lutheran,0,6.1,blonde,blue,fair,athletic,GERMAN,M,"('GERMAN', 'M')"
36,Adolf,25,"('confident', 'charismatic', 'ambitious')","('arrogant', 'competitive', 'insensitive')","('playing football', 'working out', 'partying')",professional athlete,tackling,upper class,heterosexual,christian,0,6.3,brown,blue,fair,athletic,GERMAN,M,"('GERMAN', 'M')"
37,Gyorgyi,34,"('curious', 'analytical', 'independent')","('introverted', 'perfectionist', 'skeptical')","('playing piano', 'reading', 'hiking')",research scientist,data analysis,middle class,homosexual,catholic,0,5.8,black,brown,light brown,slender,HUNGARIAN,F,"('HUNGARIAN', 'F')"
38,Benicio,29,"('outgoing', 'enthusiastic', 'spontaneous')","('impulsive', 'reckless', 'immature')","('playing hockey', 'partying', 'traveling')",sales representative,negotiation,lower middle class,heterosexual,catholic,0,6.0,black,brown,dark brown,athletic,HISPANIC,M,"('HISPANIC', 'M')"
39,Pricila,27,"('empathetic', 'creative', 'idealistic')","('naive', 'overly sensitive', 'procrastinator')","('painting', 'playing guitar', 'meditating')",social worker,active listening,lower middle class,bisexual,christian,0,5.6,red,green,fair,curvy,HISPANIC,F,"('HISPANIC', 'F')"
40,Sharrilyn,25,"('outgoing', 'ambitious', 'creative')","('impulsive', 'competitve', 'restless')","('hiking', 'reading', 'cooking')",environmental scientist,eco-heal,middle class,heterosexual,agnostic,0,5.8,brown,green,olive,athletic,ENGLISH,F,"('ENGLISH', 'F')"
41,Chuanchuan,30,"('resourceful', 'logical', 'independent')","(' reserved', 'perfectionist', 'distant')","('playing chess', 'coding', 'gaming')",software engineer,algorithmic shield,upper middle class,homosexual,buddhist,0,5.9,black,brown,fair,slim,CHINESE,M,"('CHINESE', 'M')"
42,Wiebe,28,"('friendly', 'helpful', 'laid-back')","('lazy', 'careless', 'forgetful')","('playing guitar', 'surfing', 'traveling')",music teacher,melodic charm,lower middle class,bisexual,christian,0,6.1,blond,blue,fair,lean,DUTCH,M,"('DUTCH', 'M')"
